Sample,Description
GSM8198626,Normal Liver ND10-1
GSM8198627,Normal Liver ND10-2
GSM8198628,Normal Liver ND10-3
GSM8198629,Normal Liver ND10-4
GSM8198630,Normal Liver ND10-5
GSM8198631,Normal Liver ND10-6
GSM8198632,Normal Liver ND10-7
GSM8198633,Normal Liver ND10-8
GSM8198634,Normal Liver ND10-9
GSM8198635,Normal Liver ND3-1
GSM8198636,Normal Liver ND3-2
GSM8198637,Normal Liver ND3-3-
GSM8198638,Normal Liver ND3-4
GSM8198639,Normal Liver ND3-5
GSM8198640,Normal Liver ND3-6
GSM8198641,Normal Liver ND3-7
GSM8198642,Normal Liver ND3-8
GSM8198643,Normal Liver ND3-9
GSM8198644,Normal Liver ND5-1
GSM8198645,Normal Liver ND5-2
GSM8198646,Normal Liver ND5-3
GSM8198647,Normal Liver ND5-4
GSM8198648,Normal Liver ND5-5-
GSM8198649,Normal Liver ND5-6
GSM8198650,Normal Liver ND5-7
GSM8198651,Normal Liver ND5-8
GSM8198652,Normal Liver ND5-9
GSM8198653,Disease Liver R11-10
GSM8198654,Disease Liver R11-1
GSM8198655,Disease Liver R11-2
GSM8198656,Disease Liver R11-3
GSM8198657,Disease Liver R11-4
GSM8198658,Disease Liver R11-5
GSM8198659,Disease Liver R11-6
GSM8198660,Disease Liver R11-7
GSM8198661,Disease Liver R11-8
GSM8198662,Disease Liver R11-9
GSM8198663,Disease Liver R14-10
GSM8198664,Disease Liver R14-11
GSM8198665,Disease Liver R14-12
GSM8198666,Disease Liver R14-13
GSM8198667,Disease Liver R14-14
GSM8198668,Disease Liver R14-15
GSM8198669,Disease Liver R14-16
GSM8198670,Disease Liver R14-17
GSM8198671,Disease Liver R14-18
GSM8198672,Disease Liver R14-19
GSM8198673,Disease Liver R14-1
GSM8198674,Disease Liver R14-2
GSM8198675,Disease Liver R14-3
GSM8198676,Disease Liver R14-4
GSM8198677,Disease Liver R14-5
GSM8198678,Disease Liver R14-6
GSM8198679,Disease Liver R14-7
GSM8198680,Disease Liver R14-8
GSM8198681,Disease Liver R14-9
GSM8198682,Disease Liver R15-1
GSM8198683,Disease Liver R15-2
GSM8198684,Disease Liver R15-3
GSM8198685,Disease Liver R15-5
GSM8198686,Disease Liver R15-6
GSM8198687,Disease Liver R15-7
GSM8198688,Disease Liver R15-8
GSM8198689,Disease Liver R16-10
GSM8198690,Disease Liver R16-12
GSM8198691,Disease Liver R16-1
GSM8198692,Disease Liver R16-2
GSM8198693,Disease Liver R16-3
GSM8198694,Disease Liver R16-4
GSM8198695,Disease Liver R16-5
GSM8198696,Disease Liver R16-6
GSM8198697,Disease Liver R16-7
GSM8198698,Disease Liver R16-8
GSM8198699,Disease Liver R16-9
GSM8198700,Disease Liver R17-10
GSM8198701,Disease Liver R17-3
GSM8198702,Disease Liver R17-4
GSM8198703,Disease Liver R17-5
GSM8198704,Disease Liver R17-6
GSM8198705,Disease Liver R17-7
GSM8198706,Disease Liver R17-8
GSM8198707,Disease Liver R17-9
GSM8198708,Disease Liver R18-1
GSM8198709,Disease Liver R18-2
GSM8198710,Disease Liver R18-3
GSM8198711,Disease Liver R18-5
GSM8198712,Disease Liver R18-6
GSM8198713,Disease Liver R18-7
GSM8198714,Disease Liver R18-8
GSM8198715,Disease Liver R18-9
GSM8198716,Disease Liver R19-10
GSM8198717,Disease Liver R19-11
GSM8198718,Disease Liver R19-1
GSM8198719,Disease Liver R19-3
GSM8198720,Disease Liver R19-4
GSM8198721,Disease Liver R19-5
GSM8198722,Disease Liver R19-6
GSM8198723,Disease Liver R19-7
GSM8198724,Disease Liver R19-8
GSM8198725,Disease Liver R19-9
GSM8198726,Disease Liver R2-10
GSM8198727,Disease Liver R2-11
GSM8198728,Disease Liver R2-15
GSM8198729,Disease Liver R2-1
GSM8198730,Disease Liver R2-2
GSM8198731,Disease Liver R2-3
GSM8198732,Disease Liver R2-4
GSM8198733,Disease Liver R2-5
GSM8198734,Disease Liver R2-6
GSM8198735,Disease Liver R2-7
GSM8198736,Disease Liver R2-8
GSM8198737,Disease Liver R2-9
GSM8198738,Disease Liver R20-10
GSM8198739,Disease Liver R20-11
GSM8198740,Disease Liver R20-12
GSM8198741,Disease Liver R20-13
GSM8198742,Disease Liver R20-14
GSM8198743,Disease Liver R20-15
GSM8198744,Disease Liver R20-16
GSM8198745,Disease Liver R20-18
GSM8198746,Disease Liver R20-19
GSM8198747,Disease Liver R20-1
GSM8198748,Disease Liver R20-20
GSM8198749,Disease Liver R20-21
GSM8198750,Disease Liver R20-22
GSM8198751,Disease Liver R20-23
GSM8198752,Disease Liver R20-24
GSM8198753,Disease Liver R20-25
GSM8198754,Disease Liver R20-26
GSM8198755,Disease Liver R20-2
GSM8198756,Disease Liver R20-3
GSM8198757,Disease Liver R20-4
GSM8198758,Disease Liver R20-5
GSM8198759,Disease Liver R20-6
GSM8198760,Disease Liver R20-7
GSM8198761,Disease Liver R20-8
GSM8198762,Disease Liver R20-9
GSM8198763,Disease Liver R22-1
GSM8198764,Disease Liver R22-2
GSM8198765,Disease Liver R22-3
GSM8198766,Disease Liver R22-4
GSM8198767,Disease Liver R22-5
GSM8198768,Disease Liver R22-6
GSM8198769,Disease Liver R22-7
GSM8198770,Disease Liver R23-10
GSM8198771,Disease Liver R23-1
GSM8198772,Disease Liver R23-2
GSM8198773,Disease Liver R23-3
GSM8198774,Disease Liver R23-4
GSM8198775,Disease Liver R23-5
GSM8198776,Disease Liver R23-6
GSM8198777,Disease Liver R23-7
GSM8198778,Disease Liver R23-8
GSM8198779,Disease Liver R23-9
GSM8198780,Disease Liver R28-10
GSM8198781,Disease Liver R28-1
GSM8198782,Disease Liver R28-2
GSM8198783,Disease Liver R28-3
GSM8198784,Disease Liver R28-4
GSM8198785,Disease Liver R28-5
GSM8198786,Disease Liver R28-6
GSM8198787,Disease Liver R28-7
GSM8198788,Disease Liver R28-8
GSM8198789,Disease Liver R28-9
GSM8198790,Disease Liver R32-10
GSM8198791,Disease Liver R32-11
GSM8198792,Disease Liver R32-12
GSM8198793,Disease Liver R32-1
GSM8198794,Disease Liver R32-4
GSM8198795,Disease Liver R32-5
GSM8198796,Disease Liver R32-6
GSM8198797,Disease Liver R32-7
GSM8198798,Disease Liver R32-8
GSM8198799,Disease Liver R32-9
GSM8198800,Disease Liver R33-1
GSM8198801,Disease Liver R33-3
GSM8198802,Disease Liver R33-4
GSM8198803,Disease Liver R33-5
GSM8198804,Disease Liver R33-6
GSM8198805,Disease Liver R37-1
GSM8198806,Disease Liver R37-2
GSM8198807,Disease Liver R37-3
GSM8198808,Disease Liver R37-4
GSM8198809,Disease Liver R43-10
GSM8198810,Disease Liver R43-1
GSM8198811,Disease Liver R43-2
GSM8198812,Disease Liver R43-3
GSM8198813,Disease Liver R43-4
GSM8198814,Disease Liver R43-5
GSM8198815,Disease Liver R43-6
GSM8198816,Disease Liver R43-7
GSM8198817,Disease Liver R43-8
GSM8198818,Disease Liver R43-9
GSM8198819,Disease Liver R47-10
GSM8198820,Disease Liver R47-1
GSM8198821,Disease Liver R47-3
GSM8198822,Disease Liver R47-4
GSM8198823,Disease Liver R47-5
GSM8198824,Disease Liver R47-6
GSM8198825,Disease Liver R47-7
GSM8198826,Disease Liver R47-8
GSM8198827,Disease Liver R47-9
GSM8198828,Disease Liver R55-10
GSM8198829,Disease Liver R55-11
GSM8198830,Disease Liver R55-12
GSM8198831,Disease Liver R55-13
GSM8198832,Disease Liver R55-14
GSM8198833,Disease Liver R55-15
GSM8198834,Disease Liver R55-16
GSM8198835,Disease Liver R55-17
GSM8198836,Disease Liver R55-1
GSM8198837,Disease Liver R55-2
GSM8198838,Disease Liver R55-3
GSM8198839,Disease Liver R55-4
GSM8198840,Disease Liver R55-5
GSM8198841,Disease Liver R55-6
GSM8198842,Disease Liver R55-7
GSM8198843,Disease Liver R55-8
GSM8198844,Disease Liver R55-9
GSM8198845,Disease Liver R56-1
GSM8198846,Disease Liver R56-3
GSM8198847,Disease Liver R56-4
GSM8198848,Disease Liver R56-5
GSM8198849,Disease Liver R56-6
GSM8198850,Disease Liver R56-7
GSM8198851,Disease Liver R56-8
GSM8198852,Disease Liver R6-1
GSM8198853,Disease Liver R6-2
GSM8198854,Disease Liver R6-3
GSM8198855,Disease Liver R6-4
GSM8198856,Disease Liver R6-5
GSM8198857,Disease Liver R6-6
GSM8198858,Disease Liver R8-10
GSM8198859,Disease Liver R8-11
GSM8198860,Disease Liver R8-1
GSM8198861,Disease Liver R8-2
GSM8198862,Disease Liver R8-3
GSM8198863,Disease Liver R8-4
GSM8198864,Disease Liver R8-5
GSM8198865,Disease Liver R8-6
GSM8198866,Disease Liver R8-7
GSM8198867,Disease Liver R8-8
GSM8198868,Disease Liver R8-9
